file,type,variant,format,size,background,transparent
ramuni-lockup-horizontal-color-256.png,ramuni-lockup-horizontal-color,color,png,256,none,true
ramuni-lockup-horizontal-color-256.webp,ramuni-lockup-horizontal-color,color,webp,256,none,true
ramuni-lockup-horizontal-color-256.jpg,ramuni-lockup-horizontal-color,color,jpeg,256,#F4F0E7,false
ramuni-lockup-horizontal-color-512.png,ramuni-lockup-horizontal-color,color,png,512,none,true
ramuni-lockup-horizontal-color-512.webp,ramuni-lockup-horizontal-color,color,webp,512,none,true
ramuni-lockup-horizontal-color-512.jpg,ramuni-lockup-horizontal-color,color,jpeg,512,#F4F0E7,false
ramuni-lockup-horizontal-color-1024.png,ramuni-lockup-horizontal-color,color,png,1024,none,true
ramuni-lockup-horizontal-color-1024.webp,ramuni-lockup-horizontal-color,color,webp,1024,none,true
ramuni-lockup-horizontal-color-1024.jpg,ramuni-lockup-horizontal-color,color,jpeg,1024,#F4F0E7,false
ramuni-lockup-horizontal-color-2048.png,ramuni-lockup-horizontal-color,color,png,2048,none,true
ramuni-lockup-horizontal-color-2048.webp,ramuni-lockup-horizontal-color,color,webp,2048,none,true
ramuni-lockup-horizontal-color-2048.jpg,ramuni-lockup-horizontal-color,color,jpeg,2048,#F4F0E7,false
ramuni-lockup-horizontal-mono-256.png,ramuni-lockup-horizontal-mono,mono,png,256,none,true
ramuni-lockup-horizontal-mono-256.webp,ramuni-lockup-horizontal-mono,mono,webp,256,none,true
ramuni-lockup-horizontal-mono-256.jpg,ramuni-lockup-horizontal-mono,mono,jpeg,256,#F4F0E7,false
ramuni-lockup-horizontal-mono-512.png,ramuni-lockup-horizontal-mono,mono,png,512,none,true
ramuni-lockup-horizontal-mono-512.webp,ramuni-lockup-horizontal-mono,mono,webp,512,none,true
ramuni-lockup-horizontal-mono-512.jpg,ramuni-lockup-horizontal-mono,mono,jpeg,512,#F4F0E7,false
ramuni-lockup-horizontal-mono-1024.png,ramuni-lockup-horizontal-mono,mono,png,1024,none,true
ramuni-lockup-horizontal-mono-1024.webp,ramuni-lockup-horizontal-mono,mono,webp,1024,none,true
ramuni-lockup-horizontal-mono-1024.jpg,ramuni-lockup-horizontal-mono,mono,jpeg,1024,#F4F0E7,false
ramuni-lockup-horizontal-mono-2048.png,ramuni-lockup-horizontal-mono,mono,png,2048,none,true
ramuni-lockup-horizontal-mono-2048.webp,ramuni-lockup-horizontal-mono,mono,webp,2048,none,true
ramuni-lockup-horizontal-mono-2048.jpg,ramuni-lockup-horizontal-mono,mono,jpeg,2048,#F4F0E7,false
